latitude,longitude,carat,cut,color,clarity,depth,table,price,x_length,y_width,z_depth,cut_encoded,color_encoded,clarity_encoded
41.6005556,-93.6088889,0.3,Very Good,J,SI1,,59.0,351,4.21,4.27,2.66,4,6,2
53.766667,-2.35,0.3,Premium,H,SI1,,57.0,554,,,2.67,3,4,2
53.55,-113.5,0.8,Ideal,I,VS1,,56.0,2760,5.94,5.87,3.72,2,5,4
20.9083333,-156.2275,0.8,Ideal,F,SI2,,57.0,2761,5.96,6.0,3.67,2,2,3
41.8005556,-73.1216667,0.8,Premium,F,SI2,,58.0,2762,5.98,5.94,3.68,3,2,3
44.660139,-65.681914,0.71,Ideal,D,SI2,,56.0,2762,5.73,5.69,3.56,2,0,3
34.0522222,-118.2427778,0.91,Premium,H,SI1,,56.0,2763,6.09,5.97,3.7,3,4,2
38.2683333,-90.38,0.71,Very Good,D,SI1,,58.0,2764,5.64,5.68,3.6,4,0,2
45.5236111,-122.675,0.7,Ideal,E,SI1,,57.0,2768,5.73,5.76,3.5,2,1,2
37.4527778,-76.3852778,0.73,Premium,G,VS2,,59.0,2770,5.92,5.87,3.49,3,3,5
33.7738889,-117.9405556,0.71,Very Good,F,VS2,,57.0,2777,,5.69,3.56,4,2,5
37.26546,-122.009598,0.81,Very Good,E,SI1,,60.0,2797,6.07,6.1,3.67,4,1,2
52.664913,-1.034894,0.77,Ideal,I,VS1,,59.0,2798,5.87,5.91,3.62,2,5,4
39.1141667,-94.6272222,0.82,Ideal,F,SI2,,54.0,2799,,6.02,3.74,2,2,3
34.6980556,-118.1358333,0.74,Premium,G,VS1,,60.0,2800,5.74,5.68,3.59,3,3,4
37.6922222,-97.3372222,0.71,Very Good,G,VS1,,55.0,2803,5.66,5.64,3.59,4,3,4
31.3380556,-94.7288889,0.7,Very Good,D,SI1,,58.0,2804,,,3.56,4,0,2
46.4916667,-124.0488889,0.57,Fair,E,VVS1,,66.0,2805,5.34,5.43,3.16,0,1,6
36.175,-115.1363889,0.73,Very Good,D,SI1,,57.0,2808,,5.7,3.61,4,0,2
40.1672222,-105.1013889,0.7,Premium,D,SI1,,60.0,2822,5.82,5.75,3.48,3,0,2
46.6541667,-120.5288889,0.7,Ideal,D,SI1,,54.0,2822,,5.71,3.52,2,0,2
41.0997222,-80.6497222,0.79,Premium,H,VVS2,,58.0,2827,,5.9,3.71,3,4,7
53.755477,-1.473462,0.7,Ideal,D,SI2,,57.0,2828,5.74,5.77,3.49,2,0,3
47.140461,-122.605622,0.8,Good,E,SI2,,54.0,2829,,,3.75,1,1,3
27.8002778,-97.3961111,0.77,Very Good,H,SI1,,56.0,2830,5.84,5.89,3.62,4,4,2
35.696111,51.423056,0.53,Ideal,F,VVS1,,57.0,2830,,,3.2,2,2,6
52.166667,-2.166667,0.7,Ideal,E,VS1,,56.0,2837,,,3.53,2,1,4
